Date,Day,one,two,three,four,total,pos,prev.mean,prev.lower,prev.upper,mixed,mixed.mean,mixed.lower,mixed.upper
2009-07-28,0,0.75,0.5,0.333333333,0.25,12,9,0.75,0.467694665,0.911058332,4,0.333333333,0.138120091,0.609377911
2009-11-05,100,0.590909091,0.5,0.363636364,0.272727273,22,13,0.590909091,0.387348185,0.767441838,3,0.136363636,0.047490037,0.333349872
2010-01-28,184,0.849315069,0.753424658,0.616438356,0.246575343,73,62,0.849315068,0.74998098,0.913723233,24,0.328767123,0.231944859,0.442709939
2010-03-01,216,0.93442623,0.754098361,0.62295082,0.442622951,61,57,0.93442623,0.843171983,0.974206296,17,0.278688525,0.181885439,0.401714306
2010-05-21,297,0.513888889,0.375,0.319444444,0.236111111,72,37,0.513888889,0.400697546,0.625673255,7,0.097222222,0.04789632,0.187350458
2010-07-14,351,0.698412698,0.587301587,0.428571429,0.158730159,63,44,0.698412698,0.576396277,0.797623088,7,0.111111111,0.054875487,0.212046558
2010-09-23,422,0.637681159,0.52173913,0.391304348,0.173913044,69,44,0.637681159,0.519797709,0.741042756,5,0.072463768,0.031347771,0.158673942
2010-11-05,465,0.597014925,0.402985075,0.343283582,0.104477612,67,40,0.597014925,0.477413289,0.706095072,7,0.104477612,0.051537698,0.20031283
2011-03-04,584,0.172413793,0.051724138,0.034482759,0,58,10,0.172413793,0.096442927,0.289082565,0,0,0,0.062117856
2011-07-13,715,0.222222222,0.148148148,0.061728395,0,81,18,0.222222222,0.145446074,0.324152862,2,0.024691358,0.006797587,0.085627259
2012-01-17,903,0.310344828,0.16091954,0.103448276,0.022988506,87,27,0.310344828,0.222891551,0.413838193,7,0.08045977,0.039520271,0.15688189
2012-01-31,917,0.4125,0.3,0.2125,0.1,80,33,0.4125,0.311058576,0.521959597,11,0.1375,0.078547143,0.229671001
2012-02-14,931,0.411764706,0.258823529,0.176470588,0.105882353,85,35,0.411764706,0.313170055,0.517989854,8,0.094117647,0.048465061,0.17487052
2012-03-15,961,0.481481482,0.444444444,0.37037037,0.259259259,81,39,0.481481481,0.375996416,0.588643513,12,0.148148148,0.086827082,0.241331571