Bartonella species,Isolate/Strain/Clone,Nickname,Group
B. acomydis,KS2-1,B._acomydis_KS2_1,1
B. alsatica,IBS382,B._alsatica_IBS382,1
B. ancashensis,20,B._ancashensis_20.00,1
B. apis,BBC0122,B._apis_BBC0122,1
B. australis,Aust-NH1,B._australis_Aust_NH1,1
B. birtlesii,IBS325,B._birtlesii_IBS325,1
B. bovis,91-4,B._bovis_91_4,1
B. callosciuri,BR1-1,B._callosciuri_BR1_1,1
B. capreoli,IBS193,B._capreoli_IBS193,1
B. chomelii,Ru15,B._chomelii_Ru15,1
B. clarridgeiae,73,B._clarridgeiae_73,1
B. coopersplainsensis,AUST-NH20,B._coopersplainsensis_AUST_NH20,1
B. doshiae,NCTC12862,B._doshiae_NCTC12862,1
B. elizabethae,F9251,B._elizabethae_F9251,1
B. florenciae,R4,B._florenciae_R4,1
B. grahamii,as4aup,B._grahamii_as4aup,1
B. henselae,Houston-1,B._henselae_Houston_1,1
B. japonica,Fuji_18-1,B._japonica_Fuji_18_1,1
B. koehlerae,C-29,B._koehlerae_C_29,1
B. mastomydis,8,B._mastomydis_008,1
B. melophagi,K-2C,B._melophagi_K_2C,1
B. pachyuromydis,FN15-2,B._pachyuromydis_FN15_2,1
B. phoceensis,16120,B._phoceensis_16120,1
B. queenslandensis,AUST-NH15,B._queenslandensis_AUST_NH15,1
B. quintana,Toulouse,B._quintana_Toulouse,1
B. rattaustraliani,AUST-NH4,B._rattaustraliani_AUST_NH4,1
B. rattimassiliensis,15908,B._rattimassiliensis_15908,1
B. rochalimae,ATCCBAA-1498,B._rochalimae_ATCCBAA_1498,1
B. schoenbuchensis,R1,B._schoenbuchensis_R1,1
B. silvatica,Fuji_23-1,B._silvatica_Fuji_23_1,1
B. tamiae,Th239,B._tamiae_Th239,1
B. taylorii,8TBB,B._taylorii_8TBB,1
B. tribocorum,BM1374166,B._tribocorum_BM1374166,1
B. vinsonii arupensis,Pm136co,B._vinsonii_arupensis_Pm136co,1
B. vinsonii berkhoffii,Tweed,B._vinsonii_berkhoffii_Tweed,1
B. vinsonii vinsonii,Baker,B._vinsonii_vinsonii_Baker,1
B. washoensis,Sb944nv,B._washoensis_Sb944nv,1
B. sp. Akodon sp.,6076,B._sp._Akodon.sp_6076,1
B. sp. Cervus nippon,WD12.1,B._sp._Cervus.nippon_WD12.1,1
B. sp. Gerbillus pyramidum,OE5-1,B._sp._Gerbillus.pyramidum_OE5_1,1
B. sp. Hylaeamys sp.,13060,B._sp._Hylaeamys.sp_13060,1
B. sp. Meles anakuma,JB15,B._sp._Meles.anakuma_JB15,1
B. sp. Meriones libycus,B29771,B._sp._Meriones.libycus_B29771,1
B. sp. Myodes glareolus,A296,B._sp._Myodes.glareolus_A296,1
B. sp. Rattus norvegicus,1-1C,B._sp._Rattus.norvegicus_1_1C,1
B. sp. Rusa timorensis,Pangjai-1,B._sp._Rusa.timorensis_Pangjai_1,1
B. sp. Sekeetamys calurus,FG1-1,B._sp._Sekeetamys.calurus_FG1_1,1
B. sp. Sekeetamys calurus,FG3-1,B._sp._Sekeetamys.calurus_FG3_1,1
B. sp. Tamiasciurus hudsonicus,AR-15-3,B._sp._Tamiasciurus.hudsonicus_AR_15_3,1
Brucella abortus,Biovar-3_Tulya,Brucella_abortus_Biovar_3_Tulya,1
B. antechini,MU1-F19,B._antechini_MU1_F19,1
B. bandicootii,BA1,B._bandicootii_BA1,1
B. thailandensis,Bthai,B._thailandensis_Bthai,1
B. woyliei,WC1,B._woyliei_WC1,1
B. lascolai,C102,B._lascolai_Pteronotus.parnellii_C102,2
B. rolaini,C65,B._rolaini_Noctilio.albiventris_C65,2
B. sp. Artibeus jamaicensis,D1,B._sp._Artibeus.jamaicensis_D1,2
B. sp. Chaerephon plicatus,SK157,B._sp._Chaerephon.plicatus_SK157,2
B. sp. Chaerephon plicatus,SK165,B._sp._Chaerephon.plicatus_SK165,2
B. sp. Chaerephon plicatus,SK194,B._sp._Chaerephon.plicatus_SK194,2
B. sp. Coleura afra,C-583,B._sp._Coleura.afra_C_583,2
B. sp. Desmodus rotundus,A14,B._sp._Desmodus.rotundus_A14,2
B. sp. Desmodus rotundus,DR13,B._sp._Desmodus.rotundus_DR13,2
B. sp. Desmodus rotundus,DR22,B._sp._Desmodus.rotundus_DR22,2
B. sp. Desmodus rotundus,DR24,B._sp._Desmodus.rotundus_DR24,2
B. sp. Desmodus rotundus,M9,B._sp._Desmodus.rotundus_M9,2
B. sp. Eptesicus nilssoni,1157-3,B._sp._Eptesicus.nilssoni_1157_3,2
B. sp. Eptesicus serotinus,Vesp-3 B44724,B._sp._Eptesicus.serotinus_Vesp_3_B44724,2
B. sp. Hipposideros armiger,KK182,B._sp._Hipposideros.armiger_KK182,2
B. sp. Hipposideros armiger,KK200a,B._sp._Hipposideros.armiger_KK200a,2
B. sp. Hipposideros fulvus,CR224,B._sp._Hipposideros.fulvus_CR224,2
B. sp. Hipposideros larvatus,KP277,B._sp._Hipposideros.larvatus_KP277,2
B. sp. Hipposideros vittatus,H-556,B._sp._Hipposideros.vittatus_H_556,2
B. sp. Miniopterus fuliginosus,No.05,B._sp._Miniopterus.fuliginosus_No.05,2
B. sp. Miniopterus fuliginosus,No.07,B._sp._Miniopterus.fuliginosus_No.07,2
B. sp. Miniopterus schreibersii,Mini-1 B44530,B._sp._Miniopterus.schreibersii_Mini_1_B44530,2
B. sp. Miniopterus schreibersii,Mini-1.1 B44608,B._sp._Miniopterus.schreibersii_Mini_1.1_B44608,2
B. sp. Miniopterus schreibersii,Mini-2 B44599,B._sp._Miniopterus.schreibersii_Mini_2_B44599,2
B. sp. Miniopterus schreibersii,Mini-3 B44593,B._sp._Miniopterus.schreibersii_Mini_3_B44593,2
B. sp. Myotis blythii,Vesp-10 B44602,B._sp._Myotis.blythii_Vesp_10_B44602,2
B. sp. Myotis blythii,Vesp-11 B44721,B._sp._Myotis.blythii_Vesp_11_B44721,2
B. sp. Myotis blythii,Vesp-2 B44722,B._sp._Myotis.blythii_Vesp_2_B44722,2
B. sp. Myotis blythii,Vesp-4 B44601,B._sp._Myotis.blythii_Vesp_4_B44601,2
B. sp. Myotis blythii,Vesp-5 B44622,B._sp._Myotis.blythii_Vesp_5_B44622,2
B. sp. Myotis blythii,Vesp-6 B44711,B._sp._Myotis.blythii_Vesp_6_B44711,2
B. sp. Myotis blythii,Vesp-8 B44591,B._sp._Myotis.blythii_Vesp_8_B44591,2
B. sp. Myotis daubentonii,1160-1,B._sp._Myotis.daubentonii_1160_1,2
B. sp. Myotis daubentonii,2574-1,B._sp._Myotis.daubentonii_2574_1,2
B. sp. Myotis emarginatus,Vesp-1 B44731,B._sp._Myotis.emarginatus_Vesp_1_B44731,2
B. sp. Myotis emarginatus,Vesp-12 B44617,B._sp._Myotis.emarginatus_Vesp_12_B44617,2
B. sp. Myotis emarginatus,Vesp-7 B44732,B._sp._Myotis.emarginatus_Vesp_7_B44732,2
B. sp. Myotis emarginatus,Vesp-9 B44544,B._sp._Myotis.emarginatus_Vesp_9_B44544,2
B. sp. Pipistrellus pygmaeus,Vesp-13 B44718,B._sp._Pipistrellus.pygmaeus_Vesp_13_B44718,2
B. sp. Pteronotus parnellii,F14,B._sp._Pteronotus.parnellii_F14,2
B. sp. Pteronotus parnellii,F9,B._sp._Pteronotus.parnellii_F9,2
B. sp. Rhinolophus euryale,Rhin-4 B44528,B._sp._Rhinolophus.euryale_Rhin_4_B44528,2
B. sp. Rhinolophus ferrumequinum,Rhin-1 B44706,B._sp._Rhinolophus.ferrumequinum_Rhin_1_B44706,2
B. sp. Rhinolophus ferrumequinum,Rhin-2 B44658,B._sp._Rhinolophus.ferrumequinum_Rhin_2_B44658,2
B. sp. Rhinolophus ferrumequinum,Rhin-3 B44712,B._sp._Rhinolophus.ferrumequinum_Rhin_3_B44712,2
B. sp. Rhinolophus ferrumequinum,Rhin-5 B44552,B._sp._Rhinolophus.ferrumequinum_Rhin_5_B44552,2
B. sp. Rousettus aegyptiacus,R-191,B._sp._Rousettus.aegyptiacus_R_191,2
B. sp. Sturnira lilium,J3,B._sp._Sturnira.lilium_J3,2
B. sp. Taphozous melanopogon,KP283b,B._sp._Taphozous.melanopogon_KP283b,2
B. sp. Triaenops persicus,T-837,B._sp._Triaenops.persicus_T_837,2
B. mayotimonensis,EYL-2008,B._mayotimonensis_EYL_2008,2
B. sp. Eidolon helvum,E1-105,B._sp._Eidolon.helvum_E1_105,3
B. sp. Eidolon helvum,E2-114,B._sp._Eidolon.helvum_E2_114,3
B. sp. Eidolon helvum,E3-106,B._sp._Eidolon.helvum_E3_106,3
B. sp. Eidolon helvum,E4 B39301,B._sp._Eidolon.helvum_E4_B39301,3
B. sp. Eidolon helvum,E5 B40014,B._sp._Eidolon.helvum_E5_B40014,3
B. sp. Eidolon helvum,Eh6-0510-A106,B._sp._Eidolon.helvum_Eh6_0510_A106,4
B. sp. Eidolon helvum,Eh6-1109-Q131,B._sp._Eidolon.helvum_Eh6_1109_Q131,4
B. sp. Eidolon helvum,Eh7-0110-R16,B._sp._Eidolon.helvum_Eh7_0110_R16,4
B. sp. Eidolon helvum,Ew-111,B._sp._Eidolon.helvum_Ew_111,3
